NOME_UNIDADE,NOME_DISCIPLINA,COD_TURMA,ITEM_TABELA,HR_INICIO,COD_DISCIPLINA,DIA_SEMANA,HR_FIM,TIPO_AULA,PERIODO_ITEM,ANO,DIA_SEMANA_ITEM,COD_ESTRUTURADO,CH_TOTAL,CREDITOS,PERIODO,COD_CURSO,NOME_SALA,DT_INICIO_PERIODO,DT_FIM_PERIODO,ID_TURMA,ESCOPO_ITEM,VAGAS_OCUPADAS,VAGAS_OFERECIDAS,VAGAS_AUMENTADAS,SITUACAO
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,2,10:00:00,ICC001,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 302,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,4,10:00:00,ICC001,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 302,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,6,10:00:00,ICC001,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,2,10:00:00,ICC001,Segunda-feira,11:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,4,10:00:00,ICC001,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,6,10:00:00,ICC001,Sexta-feira,11:50:00,Teórica,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,6,10:00:00,ICC002,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,6,10:00:00,ICC002,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB03,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122764,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB03,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122764,1,4,5,0,Matrícula
